"Dataset 1";"Dataset 2";"Test";"p-value";"p-Thr";"Delta";"d 95% CI";"Delta-Thr";"RelDiff";"r 95% CI";"Rel-Thr";"Win";"Power (%)";"Swap";"Reason"
"GradientBoosting";"DecisionTree";"Specificity";"0.0000";"0.0018";"+1.000";"[+1.000, +1.000]";"0.936";"0.201";"[0.190, 0.212]";"0.091";"1";"100.0";"0";"(1/2) No comparison -> Sensitivity win";
"GradientBoosting";"KNN";"Specificity";"0.0000";"0.0022";"+0.999";"[+0.984, +1.000]";"0.936";"0.166";"[0.156, 0.175]";"0.091";"1";"100.0";"0";"(1/2) No comparison -> Sensitivity win";
"GradientBoosting";"NaiveBayes";"Specificity";"0.0000";"0.0012";"-1.000";"[-1.000, -1.000]";"0.936";"0.119";"[0.112, 0.125]";"0.091";"1";"100.0";"0";"(1/2) No comparison -> Sensitivity win";
"GradientBoosting";"MLP";"Specificity";"0.0000";"0.0011";"+0.936";"[+0.871, +0.973]";"0.936";"0.091";"[0.086, 0.096]";"0.091";"1";"32.6";"0";"(1/2) No comparison -> Sensitivity win";
"SVM_Linear";"ExtraTrees";"Specificity";"0.0000";"0.0013";"+1.000";"[+1.000, +1.000]";"0.936";"0.141";"[0.134, 0.147]";"0.091";"1";"100.0";"0";"(1/2) No comparison -> Sensitivity win";
"SVM_Linear";"MLP";"Specificity";"0.0000";"0.0013";"+1.000";"[+1.000, +1.000]";"0.936";"0.137";"[0.131, 0.142]";"0.091";"1";"100.0";"0";"(1/2) No comparison -> Sensitivity win";
"LogisticRegression";"KNN";"Specificity";"0.0000";"0.0019";"+0.999";"[+0.987, +1.000]";"0.936";"0.169";"[0.159, 0.178]";"0.091";"1";"100.0";"0";"(1/2) No comparison -> Sensitivity win";
"LogisticRegression";"NaiveBayes";"Specificity";"0.0000";"0.0014";"-1.000";"[-1.000, -1.000]";"0.936";"0.115";"[0.109, 0.122]";"0.091";"1";"100.0";"0";"(1/2) No comparison -> Sensitivity win";
"LogisticRegression";"MLP";"Specificity";"0.0000";"0.0012";"+0.946";"[+0.881, +0.978]";"0.936";"0.094";"[0.088, 0.099]";"0.091";"1";"65.6";"0";"(1/2) No comparison -> Sensitivity win";
"DecisionTree";"NaiveBayes";"Specificity";"0.0000";"0.0031";"-1.000";"[-1.000, -1.000]";"0.936";"0.317";"[0.306, 0.328]";"0.091";"1";"100.0";"0";"(1/2) No comparison -> Sensitivity win";
"DecisionTree";"ExtraTrees";"Specificity";"0.0000";"0.0036";"-0.956";"[-0.984, -0.901]";"0.936";"0.106";"[0.095, 0.117]";"0.091";"1";"86.8";"0";"(1/2) No comparison -> Sensitivity win";
"DecisionTree";"MLP";"Specificity";"0.0000";"0.0033";"-0.963";"[-0.989, -0.905]";"0.936";"0.111";"[0.098, 0.123]";"0.091";"1";"91.7";"0";"(1/2) No comparison -> Sensitivity win";
"KNN";"NaiveBayes";"Specificity";"0.0000";"0.0014";"-1.000";"[-1.000, -1.000]";"0.936";"0.283";"[0.274, 0.292]";"0.091";"1";"100.0";"0";"(1/2) No comparison -> Sensitivity win";
"NaiveBayes";"ExtraTrees";"Specificity";"0.0000";"0.0020";"+1.000";"[+1.000, +1.000]";"0.936";"0.213";"[0.204, 0.222]";"0.091";"1";"100.0";"0";"(1/2) No comparison -> Sensitivity win";
"NaiveBayes";"MLP";"Specificity";"0.0000";"0.0016";"+1.000";"[+1.000, +1.000]";"0.936";"0.209";"[0.201, 0.217]";"0.091";"1";"100.0";"0";"(1/2) No comparison -> Sensitivity win";
"AdaBoost";"MLP";"Specificity";"0.0000";"0.0012";"+0.996";"[+0.967, +1.000]";"0.936";"0.121";"[0.116, 0.127]";"0.091";"1";"100.0";"0";"(1/2) No comparison -> Sensitivity win";
"GradientBoosting";"ExtraTrees";"Specificity";"0.0000";"0.0015";"+0.959";"[+0.903, +0.985]";"0.936";"0.095";"[0.088, 0.102]";"0.091";"1";"81.0";"0";"(2) No comparison -> AUC win";
"SVM_Linear";"DecisionTree";"Specificity";"0.0000";"0.0029";"+1.000";"[+1.000, +1.000]";"0.936";"0.246";"[0.236, 0.257]";"0.091";"1";"100.0";"0";"(2) No comparison -> AUC win";
"SVM_Linear";"KNN";"Specificity";"0.0000";"0.0025";"+1.000";"[+1.000, +1.000]";"0.936";"0.212";"[0.202, 0.220]";"0.091";"1";"100.0";"0";"(2) No comparison -> AUC win";
"LogisticRegression";"DecisionTree";"Specificity";"0.0000";"0.0026";"+1.000";"[+1.000, +1.000]";"0.936";"0.204";"[0.193, 0.216]";"0.091";"1";"100.0";"0";"(2) No comparison -> AUC win";
"DecisionTree";"AdaBoost";"Specificity";"0.0000";"0.0017";"-1.000";"[-1.000, -1.000]";"0.936";"0.231";"[0.221, 0.242]";"0.091";"1";"100.0";"0";"(2) No comparison -> AUC win";
"KNN";"AdaBoost";"Specificity";"0.0000";"0.0016";"-1.000";"[-1.000, -1.000]";"0.936";"0.197";"[0.185, 0.206]";"0.091";"1";"100.0";"0";"(2) No comparison -> AUC win";
"AdaBoost";"ExtraTrees";"Specificity";"0.0000";"0.0015";"+0.998";"[+0.966, +1.000]";"0.936";"0.126";"[0.119, 0.133]";"0.091";"1";"100.0";"0";"(2) No comparison -> AUC win";
"DecisionTree";"KNN";"Specificity";"0.0000";"0.0167";"-0.464";"[-0.626, -0.290]";"0.936";"0.035";"[0.023, 0.048]";"0.091";"0";"0.0";"0";"(1)/(2) Criteria for Specificity win not met";
"RandomForest";"GradientBoosting";"Specificity";"0.0000";"0.0019";"-0.851";"[-0.918, -0.745]";"0.936";"0.068";"[0.060, 0.074]";"0.091";"0";"0.0";"0";"(1)/(2) Criteria for Specificity win not met";
"RandomForest";"LogisticRegression";"Specificity";"0.0000";"0.0042";"-0.869";"[-0.936, -0.765]";"0.936";"0.071";"[0.063, 0.079]";"0.091";"0";"0.0";"0";"(1)/(2) Criteria for Specificity win not met";
"RandomForest";"ExtraTrees";"Specificity";"0.0000";"0.0083";"+0.405";"[+0.286, +0.520]";"0.936";"0.027";"[0.021, 0.034]";"0.091";"0";"0.0";"0";"(1)/(2) Criteria for Specificity win not met";
"GradientBoosting";"LogisticRegression";"Specificity";"0.0890";"0.0250";"-0.048";"[-0.142, +0.076]";"0.936";"0.003";"[0.000, 0.008]";"0.091";"0";"0.0";"0";"(1)/(2) Criteria for Specificity win not met";
"SVM_Linear";"LogisticRegression";"Specificity";"0.0000";"0.0011";"+0.679";"[+0.595, +0.762]";"0.936";"0.043";"[0.039, 0.046]";"0.091";"0";"0.0";"0";"(1)/(2) Criteria for Specificity win not met";
"SVM_Linear";"AdaBoost";"Specificity";"0.0000";"0.0100";"+0.304";"[+0.212, +0.394]";"0.936";"0.015";"[0.011, 0.019]";"0.091";"0";"0.0";"0";"(1)/(2) Criteria for Specificity win not met";
"LogisticRegression";"AdaBoost";"Specificity";"0.0000";"0.0071";"-0.461";"[-0.557, -0.369]";"0.936";"0.028";"[0.024, 0.032]";"0.091";"0";"0.0";"0";"(1)/(2) Criteria for Specificity win not met";
